pid,coauthor_pid,years
t/MartinTheobald,s/RalfSchenkel,2008
t/MartinTheobald,w/GerhardWeikum,2008
t/MartinTheobald,h/AlonYHalevy,2008
t/MartinTheobald,d/AmolDeshpande,2008
t/MartinTheobald,i/IhabFIlyas,2008
t/MartinTheobald,k/BKonigRies,2008
t/MartinTheobald,r/MatthiasRenz,2008
t/MartinTheobald,h/PeterJHaas,2008
t/MartinTheobald,k/ChristophKoch,2008
t/MartinTheobald,v/VVassalos,2008
t/MartinTheobald,s/RalfSchenkel,2007
t/MartinTheobald,w/GerhardWeikum,2007
t/MartinTheobald,s/RalfSchenkel,2006
t/MartinTheobald,w/GerhardWeikum,2006
t/MartinTheobald,m/DebapriyoMajumdar,2006
t/MartinTheobald,s/RalfSchenkel,2005
t/MartinTheobald,w/GerhardWeikum,2005
t/MartinTheobald,w/GerhardWeikum,2004
t/MartinTheobald,s/RalfSchenkel,2004
t/MartinTheobald,w/GerhardWeikum,2003
t/MartinTheobald,s/RalfSchenkel,2003
t/MartinTheobald,w/GerhardWeikum,2002
09/7444,55/6899,2016
09/7444,55/6899,2009
k/MasaruKitsuregawa,11/1466,2020
k/MasaruKitsuregawa,m/TovaMilo,2020
k/MasaruKitsuregawa,11/1466,2019
k/MasaruKitsuregawa,11/1466,2018
k/MasaruKitsuregawa,11/1466,2017
k/MasaruKitsuregawa,11/1466,2016
k/MasaruKitsuregawa,11/1466,2015
k/MasaruKitsuregawa,07/668-2,2015
k/MasaruKitsuregawa,11/1466,2014
k/MasaruKitsuregawa,w/WeiWang9,2014
k/MasaruKitsuregawa,64/146,2013
k/MasaruKitsuregawa,11/1466,2013
k/MasaruKitsuregawa,a/PAtzeni,2012
k/MasaruKitsuregawa,b/ElisaBertino,2012
k/MasaruKitsuregawa,t/KianLeeTan,2012
k/MasaruKitsuregawa,11/1466,2012
k/MasaruKitsuregawa,13/6769-1,2010
k/MasaruKitsuregawa,l/LinXuemin,2010
k/MasaruKitsuregawa,z/XiaofangZhou,2010
k/MasaruKitsuregawa,y/JXuYu,2010
k/MasaruKitsuregawa,89/6013,2009
k/MasaruKitsuregawa,c/YeowMengChee,2009
k/MasaruKitsuregawa,t/AnthonyKHTung,2009
k/MasaruKitsuregawa,13/6769-1,2007
k/MasaruKitsuregawa,l/LinXuemin,2007
k/MasaruKitsuregawa,z/XiaofangZhou,2007
k/MasaruKitsuregawa,y/JXuYu,2007
k/MasaruKitsuregawa,t/AnthonyKHTung,2005
k/MasaruKitsuregawa,z/XiaofangZhou,2003
k/MasaruKitsuregawa,z/XiaofangZhou,2002
k/MasaruKitsuregawa,o/BengChinOoi,2001
k/MasaruKitsuregawa,t/KianLeeTan,2001
k/MasaruKitsuregawa,o/BengChinOoi,2000
k/MasaruKitsuregawa,t/KianLeeTan,2000
y/MasatoshiYoshikawa,25/7045-11,2022
y/MasatoshiYoshikawa,j/AdamJatowt,2021
y/MasatoshiYoshikawa,25/7045-11,2021
y/MasatoshiYoshikawa,39/3530-1,2021
y/MasatoshiYoshikawa,76/1820-20,2021
y/MasatoshiYoshikawa,25/7045-11,2020
y/MasatoshiYoshikawa,39/3530-1,2020
y/MasatoshiYoshikawa,j/AdamJatowt,2020
y/MasatoshiYoshikawa,89/9935,2020
y/MasatoshiYoshikawa,204/3779,2020
y/MasatoshiYoshikawa,38/4395,2020
y/MasatoshiYoshikawa,17/2778,2020
y/MasatoshiYoshikawa,46/1330,2020
y/MasatoshiYoshikawa,j/AdamJatowt,2019
y/MasatoshiYoshikawa,b/SSBhowmick,2019
y/MasatoshiYoshikawa,25/7045-11,2019
y/MasatoshiYoshikawa,39/3530-1,2019
y/MasatoshiYoshikawa,204/3779,2019
y/MasatoshiYoshikawa,38/4395,2019
y/MasatoshiYoshikawa,17/2778,2019
y/MasatoshiYoshikawa,204/3779,2018
y/MasatoshiYoshikawa,38/4395,2018
y/MasatoshiYoshikawa,46/1330,2018
y/MasatoshiYoshikawa,25/7045-11,2018
y/MasatoshiYoshikawa,39/3530-1,2018
y/MasatoshiYoshikawa,j/AdamJatowt,2018
y/MasatoshiYoshikawa,b/DBarbosa,2018
y/MasatoshiYoshikawa,f/JulianaFreire,2018
y/MasatoshiYoshikawa,m/IoanaManolescu,2018
y/MasatoshiYoshikawa,v/VVassalos,2018
y/MasatoshiYoshikawa,38/4395,2017
y/MasatoshiYoshikawa,25/7045-11,2017
y/MasatoshiYoshikawa,39/3530-1,2017
y/MasatoshiYoshikawa,25/7045-11,2016
y/MasatoshiYoshikawa,39/3530-1,2016
y/MasatoshiYoshikawa,25/7045-11,2015
y/MasatoshiYoshikawa,b/DBarbosa,2009
y/MasatoshiYoshikawa,f/JulianaFreire,2009
y/MasatoshiYoshikawa,m/IoanaManolescu,2009
y/MasatoshiYoshikawa,v/VVassalos,2009
y/MasatoshiYoshikawa,a/TAmagasa,2005
y/MasatoshiYoshikawa,a/TAmagasa,2004
y/MasatoshiYoshikawa,a/TAmagasa,2003
y/MasatoshiYoshikawa,a/TAmagasa,2002
y/MasatoshiYoshikawa,a/TAmagasa,2001
y/MasatoshiYoshikawa,a/TAmagasa,2000
y/MasatoshiYoshikawa,a/TAmagasa,1999
36/2133,40/6300,2022
36/2133,47/8816,2022
36/2133,40/6300,2021
36/2133,47/8816,2021
36/2133,82/231,2021
36/2133,g/GoetzGraefe,2021
36/2133,25/6583,2021
36/2133,26/6037,2021
36/2133,s/MichaelStonebraker,2021
36/2133,n/JeffreyFNaughton,2021
36/2133,p/NeoklisPolyzotis,2021
36/2133,40/6300,2020
36/2133,47/8816,2020
36/2133,168/9023,2020
36/2133,b/PeterABoncz,2020
36/2133,91/275,2020
36/2133,82/231,2020
36/2133,25/6583,2020
36/2133,26/6037,2020
36/2133,s/MichaelStonebraker,2020
36/2133,40/6300,2019
36/2133,47/8816,2019
36/2133,r/ChristopherRe,2019
36/2133,168/9023,2019
36/2133,a/GustavoAlonso,2019
36/2133,26/6037,2019
36/2133,m/SamuelMadden,2019
36/2133,154/6336,2019
36/2133,s/IonStoica,2019
36/2133,89/6502,2019
36/2133,97/919-1,2019
36/2133,168/9023,2018
36/2133,08/3969,2018
36/2133,m/SamuelMadden,2018
36/2133,47/8816,2018
36/2133,n/JeffreyFNaughton,2018
36/2133,s/IonStoica,2018
36/2133,25/7592,2018
36/2133,m/VMarkl,2018
36/2133,40/6300,2018
36/2133,r/ChristopherRe,2018
36/2133,40/6300,2017
36/2133,47/8816,2017
36/2133,168/9023,2017
36/2133,r/ChristopherRe,2017
36/2133,08/3969,2017
36/2133,m/SamuelMadden,2017
36/2133,f/MJFranklin,2016
36/2133,s/IonStoica,2016
36/2133,08/3969,2016
36/2133,m/SamuelMadden,2016
36/2133,25/7592,2016
36/2133,s/IonStoica,2015
36/2133,f/MJFranklin,2015
36/2133,s/IonStoica,2014
36/2133,s/IonStoica,2013
36/2133,f/MJFranklin,2013
36/2133,f/MJFranklin,2012
36/2133,s/IonStoica,2012
36/2133,s/IonStoica,2011
36/2133,f/MJFranklin,2011
36/2133,s/IonStoica,2010
36/2133,f/MJFranklin,2010
36/2133,s/IonStoica,2009
36/2133,s/IonStoica,2008
g/MatteoGolfarelli,n/FelixNaumann,2013
g/MatteoGolfarelli,p/TorbenBachPedersen,2013
g/MatteoGolfarelli,k/AlfonsKemper,2013
g/MatteoGolfarelli,b/ElisaBertino,2003
g/MatteoGolfarelli,t/ManolisTerrovitis,2003
g/MatteoGolfarelli,b/IlariaBartolini,2003
49/10034,182/0250,2022
49/10034,c/CarloCurino,2022
49/10034,59/7992,2022
49/10034,182/0250,2021
49/10034,59/7992,2021
49/10034,a/GustavoAlonso,2021
49/10034,97/919-1,2021
49/10034,89/6502,2021
49/10034,135/5141,2021
49/10034,w/WeiWang,2021
49/10034,206/0032,2021
49/10034,175/1473,2021
49/10034,26/6037,2021
49/10034,206/0032,2020
49/10034,c/CarloCurino,2020
49/10034,59/7992,2020
49/10034,150/7163,2020
49/10034,71/7422,2020
49/10034,135/5141,2020
49/10034,89/6502,2020
49/10034,182/0250,2020
49/10034,w/WeiWang,2020
49/10034,97/919-1,2020
49/10034,206/0032,2019
49/10034,41/3679,2019
49/10034,89/6502,2019
49/10034,c/CarloCurino,2019
49/10034,59/7992,2019
49/10034,150/7163,2019
49/10034,71/7422,2019
49/10034,135/5141,2019
49/10034,182/0250,2019
49/10034,97/919-1,2019
49/10034,89/6502,2018
49/10034,t/LetiziaTanca,2018
49/10034,c/CarloCurino,2017
49/10034,89/6502,2017
49/10034,v/YannisVelegrakis,2016
49/10034,t/LetiziaTanca,2015
49/10034,27/104-1,2015
49/10034,151/8293,2014
49/10034,t/LetiziaTanca,2014
49/10034,v/YannisVelegrakis,2013
49/10034,t/LetiziaTanca,2013
139/1128,135/7623,2021
139/1128,v/YannisVelegrakis,2021
139/1128,p/TorbenBachPedersen,2021
139/1128,h/KatjaHose,2021
139/1128,24/279,2021
139/1128,p/TorbenBachPedersen,2020
139/1128,h/KatjaHose,2020
139/1128,135/7623,2020
139/1128,v/YannisVelegrakis,2020
139/1128,h/KatjaHose,2019
139/1128,135/7623,2019
139/1128,v/YannisVelegrakis,2019
139/1128,135/7623,2018
139/1128,v/YannisVelegrakis,2018
139/1128,135/7623,2017
139/1128,v/YannisVelegrakis,2017
139/1128,135/7623,2016
139/1128,v/YannisVelegrakis,2016
139/1128,135/7623,2014
139/1128,v/YannisVelegrakis,2014
206/0032,49/10034,2021
206/0032,49/10034,2020
206/0032,v/YannisVelegrakis,2019
206/0032,49/10034,2019
147/1263,158/4862,2022
147/1263,82/7402,2022
147/1263,41/9728,2020
147/1263,82/7402,2020
147/1263,a/AnastassiaAilamaki,2020
147/1263,p/OdysseasPapapetrou,2020
147/1263,41/9728,2019
147/1263,a/AnastassiaAilamaki,2019
147/1263,p/OdysseasPapapetrou,2019
147/1263,41/9728,2017
147/1263,82/7402,2017
147/1263,a/AnastassiaAilamaki,2017
147/1263,c/SurajitChaudhuri,2016
147/1263,46/3522,2016
147/1263,a/AnastassiaAilamaki,2015
147/1263,133/9910,2014
147/1263,82/7402,2014
147/1263,a/AnastassiaAilamaki,2014
75/887,m/VMarkl,2021
75/887,58/1388,2020
75/887,60/2319,2020
75/887,y/JunYang1,2019
75/887,h/PeterJHaas,2019
75/887,58/1388,2018
75/887,13/8165,2018
75/887,h/PeterJHaas,2018
75/887,h/PeterJHaas,2017
75/887,35/3834,2017
75/887,58/1388,2017
75/887,y/JunYang1,2017
75/887,h/PeterJHaas,2016
75/887,13/8165,2016
75/887,58/1388,2016
75/887,35/3834,2016
75/887,35/3834,2015
75/887,27/3375,2015
75/887,58/1388,2014
75/887,35/3834,2014
75/887,27/3375,2014
75/887,l/WLehner,2014
75/887,l/WLehner,2013
75/887,58/1388,2013
75/887,35/3834,2013
75/887,27/3375,2013
75/887,l/WLehner,2012
75/887,p/TorbenBachPedersen,2012
75/887,l/WLehner,2011
75/887,19/1082,2011
75/887,l/WLehner,2010
75/887,l/WLehner,2009
75/887,19/1082,2009
75/887,l/WLehner,2008
75/887,l/WLehner,2007
82/1740,k/DonaldKossmann,2009
82/1740,26/6037,2009
82/1740,k/DonaldKossmann,2008
82/1740,26/6037,2008
82/1740,89/6071,2007
82/1740,89/6071,2006
82/1740,h/SvenHelmer,2006
82/1740,h/SvenHelmer,2005
r/MatthiasRenz,38/4801,2020
r/MatthiasRenz,19/4428,2020
r/MatthiasRenz,18/2478,2020
r/MatthiasRenz,38/4801,2019
r/MatthiasRenz,19/4428,2019
r/MatthiasRenz,z/XiaofangZhou,2018
r/MatthiasRenz,38/4801,2018
r/MatthiasRenz,19/4428,2018
r/MatthiasRenz,18/2478,2018
r/MatthiasRenz,18/2478,2017
r/MatthiasRenz,89/2619,2017
r/MatthiasRenz,66/974,2017
r/MatthiasRenz,38/4801,2017
r/MatthiasRenz,19/4428,2017
r/MatthiasRenz,s/CyrusShahabi,2017
r/MatthiasRenz,18/2478,2016
r/MatthiasRenz,c/LeiChen0002,2016
r/MatthiasRenz,s/CyrusShahabi,2016
r/MatthiasRenz,18/2478,2015
r/MatthiasRenz,38/4801,2015
r/MatthiasRenz,19/4428,2015
r/MatthiasRenz,34/6253,2015
r/MatthiasRenz,89/2619,2015
r/MatthiasRenz,66/974,2015
r/MatthiasRenz,34/6253,2014
r/MatthiasRenz,18/2478,2014
r/MatthiasRenz,89/2619,2014
r/MatthiasRenz,66/974,2014
r/MatthiasRenz,76/1735,2014
r/MatthiasRenz,34/6253,2013
r/MatthiasRenz,18/2478,2013
r/MatthiasRenz,89/2619,2013
r/MatthiasRenz,c/LeiChen0002,2013
r/MatthiasRenz,66/974,2013
r/MatthiasRenz,18/2478,2012
r/MatthiasRenz,34/6253,2012
r/MatthiasRenz,18/2478,2011
r/MatthiasRenz,34/6253,2011
r/MatthiasRenz,89/2619,2010
r/MatthiasRenz,18/2478,2010
r/MatthiasRenz,34/6253,2010
r/MatthiasRenz,18/2478,2009
r/MatthiasRenz,34/6253,2009
r/MatthiasRenz,18/2478,2008
r/MatthiasRenz,d/AmolDeshpande,2008
r/MatthiasRenz,i/IhabFIlyas,2008
r/MatthiasRenz,k/BKonigRies,2008
r/MatthiasRenz,t/MartinTheobald,2008
r/MatthiasRenz,w/JefWijsen,2008
61/267,l/UlfLeser,2021
61/267,k/ChristophKoch,2021
61/267,m/VMarkl,2021
61/267,10/760,2021
61/267,04/10606,2021
61/267,a/KarlAberer,2021
61/267,04/10606,2020
61/267,a/KarlAberer,2020
61/267,152/4895,2020
61/267,a/KarlAberer,2019
61/267,04/10606,2019
61/267,152/4895,2019
61/267,81/10470,2019
61/267,45/4887,2019
61/267,04/10606,2018
61/267,z/XiaofangZhou,2018
61/267,40/3179,2018
61/267,f/JCFreytag,2018
61/267,73/3928-1,2018
61/267,152/4895,2018
61/267,131/4202,2018
61/267,45/4887,2018
61/267,a/KarlAberer,2017
61/267,04/10606,2017
61/267,z/XiaofangZhou,2017
61/267,28/3797,2017
61/267,131/4202,2016
61/267,45/4887,2016
61/267,g/DimitriosGunopulos,2016
61/267,k/VanaKalogeraki,2016
61/267,50/5895,2015
61/267,a/KarlAberer,2015
61/267,k/VanaKalogeraki,2014
61/267,131/4202,2014
61/267,45/4887,2014
61/267,g/DimitriosGunopulos,2014
61/267,a/KarlAberer,2014
61/267,k/VanaKalogeraki,2013
61/267,g/DimitriosGunopulos,2013
61/267,a/KarlAberer,2013
61/267,50/5895,2012
61/267,06/3456-1,2011
46/8779,61/3197,2016
46/8779,m/PabitraMitra,2016
46/8779,61/3197,2012
46/8779,52/6987,2012
46/8779,m/PabitraMitra,2012
46/8779,61/3197,2011
46/8779,61/3197,2010
46/8779,m/PabitraMitra,2010
56/451,205/9137,2019
56/451,188/6387,2019
56/451,g/HimanshuGupta,2019
56/451,188/9073,2018
56/451,60/2319,2018
56/451,j/HVJagadish,2018
56/451,205/9137,2018
56/451,188/6387,2018
56/451,g/HimanshuGupta,2018
56/451,g/HimanshuGupta,2017
56/451,12/1770-5,2017
56/451,22/835-1,2017
56/451,60/2319,2017
56/451,o/FatmaOzcan,2017
56/451,127/6195,2017
56/451,129/8181,2017
56/451,58/1388,2017
56/451,h/OktieHassanzadeh,2013
56/451,m/RJMiller,2013
56/451,p/LucianPopa,2013
56/451,k/GeorgiaKoutrika,2013
56/451,p/LucianPopa,2012
56/451,t/WangChiewTan,2012
56/451,k/GeorgiaKoutrika,2012
56/451,n/FelixNaumann,2012
56/451,k/GeorgiaKoutrika,2011
56/451,p/LucianPopa,2011
56/451,p/LucianPopa,2010
56/451,t/WangChiewTan,2010
56/451,w/MelanieWeis,2010
56/451,w/MelanieWeis,2009
56/451,t/WangChiewTan,2009
56/451,m/RJMiller,2009
56/451,p/LucianPopa,2009
56/451,v/YannisVelegrakis,2009
56/451,p/PaoloPapotti,2008
56/451,t/WangChiewTan,2008
56/451,10/5842,2008
56/451,p/LucianPopa,2008
56/451,66/3027,2008
56/451,p/LucianPopa,2007
56/451,m/RJMiller,2007
56/451,p/PaoloPapotti,2007
56/451,p/LucianPopa,2006
56/451,m/RJMiller,2006
56/451,p/PaoloPapotti,2006
56/451,p/LucianPopa,2005
56/451,n/FelixNaumann,2005
56/451,52/1486,2002
56/451,m/RJMiller,2002
56/451,n/FelixNaumann,2002
56/451,p/LucianPopa,2002
56/451,v/YannisVelegrakis,2002
56/451,m/RJMiller,2001
56/451,p/LucianPopa,2001
56/451,m/RJMiller,2000
82/4386,72/7456,2020
82/4386,72/7456,2019
82/4386,72/7456,2018
82/4386,28/1062,2018
82/4386,y/DanfengYao,2016
c/MaxChevalier,m/JosianeMothe,2020
c/MaxChevalier,m/JosianeMothe,2016
c/MaxChevalier,m/JosianeMothe,2015
c/MaxChevalier,m/JosianeMothe,2013
c/MaxChevalier,m/JosianeMothe,2012
77/3753,m/VMarkl,2017
77/3753,m/VMarkl,2015
77/3753,m/VMarkl,2014
77/3753,l/WLehner,2014
77/3753,08/3969,2013
77/3753,m/VMarkl,2013
77/3753,m/VMarkl,2012
77/3753,m/VMarkl,2011
77/3753,m/VMarkl,2010
77/3753,m/VMarkl,2009
181/5823,s/DanSuciu,2021
181/5823,143/6186,2021
181/5823,n/HungQNgo,2020
181/5823,143/6186,2020
181/5823,b/LEBertossi,2020
181/5823,s/DanSuciu,2020
181/5823,n/HungQNgo,2019
181/5823,n/HungQNgo,2018
181/5823,n/HungQNgo,2017
r/MayaRamanath,b/SrikantaJBedathur,2021
r/MayaRamanath,b/SrikantaJBedathur,2020
r/MayaRamanath,200/8759,2019
r/MayaRamanath,54/3265,2019
r/MayaRamanath,w/GerhardWeikum,2019
r/MayaRamanath,77/5034,2019
r/MayaRamanath,b/SrikantaJBedathur,2019
r/MayaRamanath,77/5034,2018
r/MayaRamanath,b/SrikantaJBedathur,2018
r/MayaRamanath,200/8759,2018
r/MayaRamanath,f/JulianaFreire,2018
r/MayaRamanath,p/NeoklisPolyzotis,2018
r/MayaRamanath,77/5034,2017
r/MayaRamanath,b/SrikantaJBedathur,2017
r/MayaRamanath,200/8759,2017
r/MayaRamanath,w/GerhardWeikum,2017
r/MayaRamanath,w/GerhardWeikum,2016
r/MayaRamanath,54/3265,2016
r/MayaRamanath,136/7969,2015
r/MayaRamanath,77/5034,2015
r/MayaRamanath,b/SrikantaJBedathur,2015
r/MayaRamanath,54/3265,2015
r/MayaRamanath,77/5034,2013
r/MayaRamanath,w/GerhardWeikum,2012
r/MayaRamanath,82/4089,2012
r/MayaRamanath,w/GerhardWeikum,2011
r/MayaRamanath,82/4089,2011
r/MayaRamanath,82/4089,2010
r/MayaRamanath,s/RalfSchenkel,2010
r/MayaRamanath,w/GerhardWeikum,2010
r/MayaRamanath,w/GerhardWeikum,2009
r/MayaRamanath,82/4089,2009
r/MayaRamanath,s/RalfSchenkel,2009
r/MayaRamanath,f/JulianaFreire,2009
r/MayaRamanath,p/NeoklisPolyzotis,2009
r/MayaRamanath,w/GerhardWeikum,2008
r/MayaRamanath,82/4089,2008
r/MayaRamanath,w/GerhardWeikum,2007
r/MayaRamanath,f/JulianaFreire,2005
r/MayaRamanath,f/JulianaFreire,2004
r/MayaRamanath,f/JulianaFreire,2003
r/MayaRamanath,f/JulianaFreire,2002
96/4770,m/AnimeshMukherjee,2020
96/4770,34/5594,2020
96/4770,09/3737,2020
96/4770,m/AnimeshMukherjee,2019
96/4770,m/AnimeshMukherjee,2018
96/4770,m/AnimeshMukherjee,2017
96/4770,34/5594,2017
96/4770,m/AnimeshMukherjee,2016
96/4770,160/4306,2016
96/4770,52/6987,2016
96/4770,m/AnimeshMukherjee,2015
71/11498,57/10514,2022
71/11498,o/MouradOuzzani,2022
150/5229,m/JosianeMothe,2021
150/5229,m/JosianeMothe,2020
150/5229,m/JosianeMothe,2019
150/5229,m/JosianeMothe,2018
150/5229,m/JosianeMothe,2017
71/9649,52/6987,2021
08/7259,169/3426,2021
08/7259,67/6383-1,2021
08/7259,131/4047,2021
08/7259,14/716,2021
08/7259,79/3108,2021
08/7259,o/BengChinOoi,2021
08/7259,169/3246,2021
08/7259,35/7092-59,2021
08/7259,j/HVJagadish,2021
08/7259,03/10118,2021
08/7259,172/5536,2021
08/7259,c/YeowMengChee,2021
08/7259,169/3419,2021
08/7259,169/3419,2020
08/7259,79/3108,2020
08/7259,67/6383-1,2020
08/7259,o/BengChinOoi,2020
08/7259,03/10118,2020
08/7259,35/7092-59,2020
08/7259,33/1903,2020
08/7259,85/1868-11,2020
08/7259,169/3426,2020
08/7259,169/3246,2020
08/7259,o/BengChinOoi,2019
08/7259,67/6383-1,2019
08/7259,03/10118,2019
08/7259,35/7092-59,2019
08/7259,79/3108,2019
08/7259,98/6613-15,2019
08/7259,74/2905,2019
08/7259,j/HVJagadish,2019
08/7259,47/3542-1,2019
08/7259,131/4047,2019
08/7259,t/KianLeeTan,2019
08/7259,33/1903,2019
08/7259,169/3419,2018
08/7259,67/6383-1,2018
08/7259,j/HVJagadish,2018
08/7259,o/BengChinOoi,2018
08/7259,85/1868-11,2018
08/7259,79/3108,2018
08/7259,s/DiveshSrivastava,2018
08/7259,35/7092-59,2018
08/7259,131/4047,2018
08/7259,169/3426,2018
08/7259,14/716,2018
08/7259,89/6013,2018
08/7259,51/5793,2018
08/7259,04/10606,2018
08/7259,z/XiaofangZhou,2018
08/7259,78/4413,2018
08/7259,l/GuoliangLi,2018
08/7259,84/2644,2018
08/7259,l/GuoliangLi,2017
08/7259,o/BengChinOoi,2017
08/7259,s/DiveshSrivastava,2017
08/7259,98/6613-15,2017
08/7259,77/4933,2017
08/7259,47/3542-1,2017
08/7259,04/10606,2017
08/7259,z/XiaofangZhou,2017
08/7259,35/7092-59,2017
08/7259,169/3426,2017
08/7259,169/3246,2017
08/7259,67/6383-1,2017
08/7259,85/1868-11,2017
08/7259,79/3108,2017
08/7259,t/KianLeeTan,2017
08/7259,169/3419,2017
08/7259,35/7092-59,2016
08/7259,67/6383-1,2016
08/7259,j/HVJagadish,2016
08/7259,o/BengChinOoi,2016
08/7259,t/KianLeeTan,2016
08/7259,a/DivyakantAgrawal,2016
08/7259,79/3108,2016
08/7259,131/4047,2016
08/7259,85/1868-11,2016
08/7259,78/4413,2016
08/7259,67/6383-1,2015
08/7259,o/BengChinOoi,2015
08/7259,t/KianLeeTan,2015
08/7259,78/4413,2015
08/7259,85/1868-11,2015
08/7259,35/7092-59,2015
08/7259,131/4047,2015
08/7259,169/3426,2015
08/7259,t/AnthonyKHTung,2015
08/7259,169/3419,2015
08/7259,169/3246,2015
08/7259,a/DivyakantAgrawal,2015
08/7259,78/4413,2014
08/7259,o/BengChinOoi,2014
08/7259,t/KianLeeTan,2014
08/7259,67/6383-1,2014
08/7259,t/AnthonyKHTung,2014
08/7259,t/WangChiewTan,2014
08/7259,s/DiveshSrivastava,2013
08/7259,o/BengChinOoi,2012
08/7259,74/2905,2012
08/7259,30/1186,2012
08/7259,33/3180,2012
08/7259,l/HuaLu,2012
08/7259,89/6013,2012
08/7259,o/BengChinOoi,2011
08/7259,s/DiveshSrivastava,2011
08/7259,67/6383-1,2011
08/7259,t/AnthonyKHTung,2011
08/7259,89/6013,2011
08/7259,o/BengChinOoi,2010
08/7259,s/DiveshSrivastava,2010
08/7259,j/ChristianSJensen,2009
08/7259,o/BengChinOoi,2009
w/MelanieWeis,09/3012,2021
w/MelanieWeis,169/3246,2021
w/MelanieWeis,67/6383-1,2021
w/MelanieWeis,o/BengChinOoi,2021
w/MelanieWeis,131/4047,2021
w/MelanieWeis,09/3012,2019
w/MelanieWeis,c/DarioColazzo,2016
w/MelanieWeis,m/IoanaManolescu,2016
w/MelanieWeis,74/6086,2015
w/MelanieWeis,87/11444,2014
w/MelanieWeis,c/VassilisChristophides,2014
w/MelanieWeis,n/FelixNaumann,2012
w/MelanieWeis,n/FelixNaumann,2011
w/MelanieWeis,n/FelixNaumann,2010
w/MelanieWeis,56/451,2010
w/MelanieWeis,56/451,2009
w/MelanieWeis,t/WangChiewTan,2009
w/MelanieWeis,n/FelixNaumann,2008
w/MelanieWeis,m/IoanaManolescu,2007
w/MelanieWeis,n/FelixNaumann,2006
w/MelanieWeis,m/HeikoMuller,2005
w/MelanieWeis,l/UlfLeser,2005
w/MelanieWeis,n/FelixNaumann,2005
w/MelanieWeis,n/FelixNaumann,2004
69/339-1,223/3148,2021
69/339-1,66/3005,2021
69/339-1,18/4087-1,2021
69/339-1,131/9628,2021
69/339-1,d/XinLunaDong,2021
69/339-1,73/2015,2021
69/339-1,18/4087-1,2020
69/339-1,66/3005,2020
69/339-1,223/3148,2020
69/339-1,73/2015,2020
69/339-1,223/3148,2019
69/339-1,73/2015,2019
69/339-1,66/3005,2019
69/339-1,18/4087-1,2019
69/339-1,14/8543,2018
69/339-1,67/4834-4,2018
69/339-1,223/3148,2018
69/339-1,66/3005,2018
69/339-1,131/9628,2018
69/339-1,14/8543,2017
69/339-1,66/5923-8,2017
69/339-1,08/6809-1,2016
69/339-1,77/1985,2012
69/339-1,82/6362-1,2012
14/8543,217/7022,2022
14/8543,181/2667-5,2022
14/8543,x/HuiXiong,2021
14/8543,181/2667-5,2021
14/8543,181/2667-5,2020
14/8543,181/2667-5,2019
14/8543,69/339-1,2018
14/8543,67/4834-4,2018
14/8543,181/2667-5,2018
14/8543,66/5923-8,2017
14/8543,69/339-1,2017
14/8543,181/2667-5,2017
14/8543,85/1868,2017
14/8543,x/HuiXiong,2016
14/8543,181/2667-5,2016
14/8543,x/HuiXiong,2015
14/8543,181/2667-5,2015
14/8543,x/HuiXiong,2014
173/4598,29/3483,2020
173/4598,29/3483,2019
173/4598,37/10133-3,2019
173/4598,172/0874,2019
173/4598,29/3483,2018
173/4598,172/0874,2018
173/4598,29/3483,2017
173/4598,29/3483,2016
173/4598,67/4834-4,2016
93/9883,51/5585,2022
93/9883,13/6769-1,2022
93/9883,47/179,2022
93/9883,l/LinXuemin,2022
93/9883,y/JXuYu,2021
93/9883,85/5637-1,2021
93/9883,t/YufeiTao,2021
93/9883,51/5585,2020
93/9883,13/6769-1,2020
93/9883,47/179,2020
93/9883,l/LinXuemin,2020
93/9883,51/5585,2019
93/9883,13/6769-1,2019
93/9883,47/179,2019
93/9883,l/LinXuemin,2019
93/9883,51/5585,2018
93/9883,13/6769-1,2018
93/9883,47/179,2018
93/9883,l/LinXuemin,2018
93/9883,85/5637-1,2017
93/9883,t/YufeiTao,2017
93/9883,t/YufeiTao,2016
93/9883,06/11411,2016
93/9883,t/YufeiTao,2015
93/9883,85/5637-1,2014
93/9883,47/179,2014
93/9883,y/JXuYu,2014
93/9883,t/YufeiTao,2014
93/9883,51/5585,2013
93/9883,85/5637-1,2013
93/9883,y/JXuYu,2013
93/9883,47/179,2013
93/9883,47/179,2012
93/9883,y/JXuYu,2012
93/9883,51/5585,2012
93/9883,85/5637-1,2012
93/9883,85/5637-1,2011
93/9883,y/JXuYu,2011
b/MichaelHBohlen,96/11411,2022
b/MichaelHBohlen,59/6952,2022
b/MichaelHBohlen,j/ChristianSJensen,2022
b/MichaelHBohlen,h/SvenHelmer,2021
b/MichaelHBohlen,71/5578,2020
b/MichaelHBohlen,h/SvenHelmer,2020
b/MichaelHBohlen,76/3961,2020
b/MichaelHBohlen,j/ChristianSJensen,2020
b/MichaelHBohlen,06/9379,2020
b/MichaelHBohlen,s/DiveshSrivastava,2020
b/MichaelHBohlen,96/11411,2019
b/MichaelHBohlen,09/3012,2019
b/MichaelHBohlen,59/6952,2019
b/MichaelHBohlen,t/MartinTheobald,2019
b/MichaelHBohlen,06/9379,2019
b/MichaelHBohlen,s/DiveshSrivastava,2019
b/MichaelHBohlen,t/MartinTheobald,2018
b/MichaelHBohlen,96/11411,2018
